review_year,Fresh,Rotten
1800,50,33
1923,0,1
1927,3,0
1928,1,0
1929,0,1
1931,0,1
1932,1,0
1933,1,0
1934,1,0
1935,3,0
1936,0,1
1937,1,0
1938,1,0
1939,2,1
1941,2,0
1942,1,0
1943,1,0
1944,2,0
1946,1,0
1948,7,0
1949,1,0
1950,2,0
1951,7,0
1953,7,0
1954,2,0
1956,1,0
1957,1,0
1958,2,1
1959,1,1
1960,5,0
1961,3,0
1962,2,0
1963,2,0
1964,1,0
1965,3,0
1966,1,0
1967,1,1
1968,1,0
1969,3,0
1970,3,0
1971,4,2
1972,2,0
1973,2,0
1974,0,1
1975,2,0
1976,2,0
1977,4,0
1978,1,1
1979,5,1
1980,5,0
1981,10,2
1982,3,1
1983,3,1
1984,6,3
1985,12,1
1986,8,0
1987,5,2
1988,6,8
1989,11,8
1990,51,45
1991,41,66
1992,47,45
1993,43,46
1994,48,74
1995,72,39
1996,90,71
1997,81,63
1998,97,89
1999,68,49
2000,28026,21413
2001,15079,11209
2002,32072,20196
2003,32717,20273
2004,30545,20954
2005,32533,23215
2006,29313,20451
2007,31720,21241
2008,30601,20687
2009,30121,19389
2010,29736,18110
2011,34651,19864
2012,33129,18150
2013,35134,19229
2014,32928,18100
2015,36825,18460
2016,39064,18822
2017,41275,19300
2018,53455,22858
2019,57781,24130
2020,32649,13097
